EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
12,,01 42 ,"1,36 ",4,5,14 10 ,"1,40 ",4,7
13,M,02 40 ,"1,51 ",4,11,15 13 ,"1,53 ",5,0
14,J,03 54 ,"1,58 ",5,2,16 30 ,"1,56 ",5,1
15,V,05 17 ,"1,50 ",4,11,17 50 ,"1,43 ",4,8
16,S,06 32 ,"1,25 ",4,1,18 56 ,"1,17 ",3 10,
17,D,07 33 ,"0,91 ",2,11,19 52 ,"0,86 ",2,9
18,L,08 25 ,"0,56 ",1,10,20 42 ,"0,56 ",1 10,
19,,09 14 ,"0,26 ",0,10,21 28 ,"0,33 ",1,0
20,M,10 00 ,"0,07 ",0,2,22 14 ,"0,20 ",0,7
21,J,10 45 ,"0,03 ",0,1,22 58 ,"0,19 ",0,7
22,V,11 29 ,"0,14 ",0,5,23 43 ,"0,32 ",1,0
23,S,12 14 ,"0,39 ",1,3,— ,— ,— ,—
24,D,00 29 ,"0,55 ",1,9,12 59 ,"0,71 ",2,3
25,L,01 16 ,"0,86 ",2,9,13 48 ,"1,07 ",3,6
26,,02 10 ,"1,19 ",3,10,14 45 ,"1,40 ",4,7
27,M,03 15 ,"1,47 ",4,9,15 57 ,"1,63 ",5,4
28,J,04 37 ,"1,62 ",5,3,17 21 ,"1,68 ",5,6
EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,MARTXOA 2019 MARZO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,V,12 38 ,"3,14 ",10,3,— ,— ,— ,—
2,S,00 57 ,"3,36 ",11,0,13 34 ,"3,29 ",10,9
3,D,01 46 ,"3,54 ",11,7,14 15 ,"3,47 ",11,4
4,L,02 25 ,"3,73 ",12,2,14 48 ,"3,63 ",11 10,
5,M,02 58 ,"3,89 ",12,9,15 18 ,"3,77 ",12,4
6,,03 29 ,"4,02 ",13,2,15 47 ,"3,88 ",12,8
7,J,03 59 ,"4,11 ",13,5,16 15 ,"3,94 ",12 11,
8,V,04 28 ,"4,15 ",13,7,16 43 ,"3,97 ",13,0
9,S,04 59 ,"4,14 ",13,6,17 12 ,"3,95 ",12 11,
10,D,05 31 ,"4,07 ",13,4,17 43 ,"3,88 ",12,8
11,L,06 04 ,"3,94 ",12,11,18 18 ,"3,76 ",12,4
12,M,06 42 ,"3,76 ",12,4,18 58 ,"3,61 ",11 10,
13,M,07 28 ,"3,55 ",11,7,19 49 ,"3,43 ",11,3
14,,08 28 ,"3,34 ",10,11,21 00 ,"3,29 ",10,9
15,V,09 53 ,"3,22 ",10,6,22 32 ,"3,28 ",10,9
16,S,11 26 ,"3,30 ",10,9,23 58 ,"3,47 ",11,4
17,D,12 41 ,"3,55 ",11,7,— ,— ,— ,—
18,L,01 04 ,"3,79 ",12,5,13 39 ,"3,87 ",12,8
19,M,01 58 ,"4,14 ",13,6,14 29 ,"4,18 ",13,8
20,M,02 46 ,"4,44 ",14,6,15 14 ,"4,40 ",14,5
21,,03 31 ,"4,64 ",15,2,15 56 ,"4,52 ",14,9
22,V,04 14 ,"4,71 ",15,5,16 37 ,"4,52 ",14,9
23,S,04 57 ,"4,62 ",15,1,17 18 ,"4,40 ",14,5
24,D,05 39 ,"4,41 ",14,5,17 58 ,"4,18 ",13,8
25,L,06 21 ,"4,09 ",13,5,18 40 ,"3,91 ",12,9
26,M,07 05 ,"3,73 ",12,2,19 27 ,"3,61 ",11 10,
